,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
0,2022-01-01T00:00:00Z,2022-01-02T00:00:00Z,0.00011558047845028341,0.00011558047845028341,0.00011558047845028341,0.0,1,0,Amsterdam,1
1,2022-01-02T00:00:00Z,2022-01-03T00:00:00Z,4.4581276597455144e-05,4.4581276597455144e-05,4.4581276597455144e-05,0.0,1,0,Amsterdam,1
2,2022-01-03T00:00:00Z,2022-01-04T00:00:00Z,3.368808756931685e-05,3.368808756931685e-05,3.368808756931685e-05,0.0,1,0,Amsterdam,1
3,2022-01-04T00:00:00Z,2022-01-05T00:00:00Z,4.0803617594065145e-05,4.0803617594065145e-05,4.0803617594065145e-05,0.0,1,0,Amsterdam,1
4,2022-01-05T00:00:00Z,2022-01-06T00:00:00Z,5.973694351268932e-05,5.973694351268932e-05,5.973694351268932e-05,0.0,1,0,Amsterdam,1
5,2022-01-06T00:00:00Z,2022-01-07T00:00:00Z,,,,,1,1,Amsterdam,1
6,2022-01-07T00:00:00Z,2022-01-08T00:00:00Z,-1.7319243852398358e-05,-1.7319243852398358e-05,-1.7319243852398358e-05,0.0,1,0,Amsterdam,1
7,2022-01-08T00:00:00Z,2022-01-09T00:00:00Z,,,,,1,1,Amsterdam,1
8,2022-01-09T00:00:00Z,2022-01-10T00:00:00Z,,,,,1,1,Amsterdam,1
9,2022-01-10T00:00:00Z,2022-01-11T00:00:00Z,0.00022367184283211827,0.00022367184283211827,0.00022367184283211827,0.0,1,0,Amsterdam,1
10,2022-01-11T00:00:00Z,2022-01-12T00:00:00Z,,,,,1,1,Amsterdam,1
11,2022-01-12T00:00:00Z,2022-01-13T00:00:00Z,,,,,1,1,Amsterdam,1
12,2022-01-13T00:00:00Z,2022-01-14T00:00:00Z,,,,,1,1,Amsterdam,1
13,2022-01-14T00:00:00Z,2022-01-15T00:00:00Z,,,,,1,1,Amsterdam,1
14,2022-01-15T00:00:00Z,2022-01-16T00:00:00Z,,,,,1,1,Amsterdam,1
15,2022-01-16T00:00:00Z,2022-01-17T00:00:00Z,,,,,1,1,Amsterdam,1
16,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,,,,,1,1,Amsterdam,1
17,2022-01-18T00:00:00Z,2022-01-19T00:00:00Z,,,,,1,1,Amsterdam,1
18,2022-01-19T00:00:00Z,2022-01-20T00:00:00Z,,,,,1,1,Amsterdam,1
19,2022-01-20T00:00:00Z,2022-01-21T00:00:00Z,3.949495294364169e-05,3.949495294364169e-05,3.949495294364169e-05,0.0,1,0,Amsterdam,1
20,2022-01-21T00:00:00Z,2022-01-22T00:00:00Z,,,,,1,1,Amsterdam,1
21,2022-01-22T00:00:00Z,2022-01-23T00:00:00Z,,,,,1,1,Amsterdam,1
22,2022-01-23T00:00:00Z,2022-01-24T00:00:00Z,,,,,1,1,Amsterdam,1
23,2022-01-24T00:00:00Z,2022-01-25T00:00:00Z,,,,,1,1,Amsterdam,1
24,2022-01-25T00:00:00Z,2022-01-26T00:00:00Z,,,,,1,1,Amsterdam,1
